,HTRK_VEN01_EM01_P,HTRK_VEN01_FCI01
2025-09-26 01:30:00+00:00,0.11,0
2025-09-26 01:35:00+00:00,0.11,0
2025-09-26 01:40:00+00:00,0.11,0
2025-09-26 01:45:00+00:00,0.11,0
2025-09-26 01:50:00+00:00,0.11,0
2025-09-26 01:55:00+00:00,0.11,0
2025-09-26 02:00:00+00:00,0.11,0
2025-09-26 02:05:00+00:00,0.11,0
2025-09-26 02:10:00+00:00,0.11,0
2025-09-26 02:15:00+00:00,0.11,0
2025-09-26 02:20:00+00:00,0.11,0
2025-09-26 02:25:00+00:00,0.11,0
2025-09-26 02:30:00+00:00,0.11,0
2025-09-26 02:35:00+00:00,0.11,0
2025-09-26 02:40:00+00:00,2.496426551,0
2025-09-26 02:45:00+00:00,0.11,0
2025-09-26 02:50:00+00:00,0.11,0
2025-09-26 02:55:00+00:00,0.11,0
2025-09-26 03:00:00+00:00,0.148829431,0
2025-09-26 03:05:00+00:00,6.7394,8787.87325
2025-09-26 03:10:00+00:00,10.96237436,13544.6738
2025-09-26 03:15:00+00:00,4.537201863,9081.67
2025-09-26 03:20:00+00:00,4.636333333,9081.67
2025-09-26 03:25:00+00:00,4.529833333,9183.83
2025-09-26 03:30:00+00:00,4.659533333,9337.07
2025-09-26 03:35:00+00:00,4.706092308,9328.905143
2025-09-26 03:40:00+00:00,4.597916667,9237.10225
2025-09-26 03:45:00+00:00,4.578618288,9119.93
2025-09-26 03:50:00+00:00,4.584333333,9286.55
2025-09-26 03:55:00+00:00,4.51827195,9286.55
2025-09-26 04:00:00+00:00,4.46885098,9324.164508
2025-09-26 04:05:00+00:00,4.741257143,9801.199736
2025-09-26 04:10:00+00:00,4.995825821,10295.4533
2025-09-26 04:15:00+00:00,5.256659979,10638.89459
2025-09-26 04:20:00+00:00,5.010706061,10877.231
2025-09-26 04:25:00+00:00,5.147029303,10985.70219
2025-09-26 04:30:00+00:00,5.330592688,11223.1664
2025-09-26 04:35:00+00:00,5.533470588,11581.754
2025-09-26 04:40:00+00:00,5.5704,11802.354
2025-09-26 04:45:00+00:00,5.587962963,11839.73
2025-09-26 04:50:00+00:00,5.770709957,12086.87879
2025-09-26 04:55:00+00:00,5.674432749,12197.204
2025-09-26 05:00:00+00:00,5.717428571,12335.052
2025-09-26 05:05:00+00:00,5.7796,12360.656
2025-09-26 05:10:00+00:00,5.938180602,12468.98743
2025-09-26 05:15:00+00:00,6.0375,12526.675
2025-09-26 05:20:00+00:00,6.079271635,12521.98
2025-09-26 05:25:00+00:00,6.053692308,12514.462
2025-09-26 05:30:00+00:00,5.899636364,12598.97457
2025-09-26 05:35:00+00:00,5.928986667,12589.038
2025-09-26 05:40:00+00:00,6.182808772,12595.58692
2025-09-26 05:45:00+00:00,6.228697947,12686.188
2025-09-26 05:50:00+00:00,6.099620137,12667.02914
2025-09-26 05:55:00+00:00,5.892489879,12663.04917
2025-09-26 06:00:00+00:00,5.866440191,12689.292
2025-09-26 06:05:00+00:00,6.298545455,12801.85
2025-09-26 06:10:00+00:00,6.231230769,12831.006
2025-09-26 06:15:00+00:00,6.119331522,12977.03
2025-09-26 06:20:00+00:00,6.112898251,12986.99868
2025-09-26 06:25:00+00:00,6.319236111,13157.02
2025-09-26 06:30:00+00:00,6.4546,13167.664
2025-09-26 06:35:00+00:00,6.360586007,13332.07
2025-09-26 06:40:00+00:00,6.308423077,13463.31
2025-09-26 06:45:00+00:00,6.485684211,13476.275
2025-09-26 06:50:00+00:00,6.739195767,13863.471
2025-09-26 06:55:00+00:00,6.814562921,14117.792
2025-09-26 07:00:00+00:00,7.532045455,14519.73861
2025-09-26 07:05:00+00:00,7.143033333,14567.77943
2025-09-26 07:10:00+00:00,6.986,14518.804
2025-09-26 07:15:00+00:00,6.95,14516.86
2025-09-26 07:20:00+00:00,7.278536111,14981.41
2025-09-26 07:25:00+00:00,7.324002222,15228.18584
2025-09-26 07:30:00+00:00,7.568473214,15224.84436
2025-09-26 07:35:00+00:00,7.59934118,15281.13575
2025-09-26 07:40:00+00:00,7.55983987,15376.28759
2025-09-26 07:45:00+00:00,7.673254579,15457.99848
2025-09-26 07:50:00+00:00,7.705571429,15555.25533
2025-09-26 07:55:00+00:00,7.942654546,15608.1784
2025-09-26 08:00:00+00:00,7.876628571,15677.868
2025-09-26 08:05:00+00:00,7.957571906,15958.28422
2025-09-26 08:10:00+00:00,8.06017803,16011.3914
2025-09-26 08:15:00+00:00,8.049564103,15954.58277
2025-09-26 08:20:00+00:00,8.167906494,16057.1907
2025-09-26 08:25:00+00:00,8.145542334,16357.61018
2025-09-26 08:30:00+00:00,8.280555556,16785.052
2025-09-26 08:35:00+00:00,8.686733352,16771.29333
2025-09-26 08:40:00+00:00,8.650055123,16967.54598
2025-09-26 08:45:00+00:00,8.75008877,17241.48507
2025-09-26 08:50:00+00:00,8.654055556,17361.81453
2025-09-26 08:55:00+00:00,8.867867384,17466.55277
2025-09-26 09:00:00+00:00,9.076141126,17634.16209
2025-09-26 09:05:00+00:00,9.22,17974.73455
2025-09-26 09:10:00+00:00,9.129527852,18282.21744
2025-09-26 09:15:00+00:00,9.329847619,18231.28771
2025-09-26 09:20:00+00:00,9.310906447,18642.25435
2025-09-26 09:25:00+00:00,9.603569368,18803.08545
2025-09-26 09:30:00+00:00,9.836875,19085.6698
2025-09-26 09:35:00+00:00,10.0040543,19544.06582
2025-09-26 09:40:00+00:00,10.21532727,19476.04021
2025-09-26 09:45:00+00:00,10.54816667,19773.748
2025-09-26 09:50:00+00:00,10.91602083,20027.565
2025-09-26 09:55:00+00:00,10.88203478,20249.53875
2025-09-26 10:00:00+00:00,11.04249078,20640.94585
2025-09-26 10:05:00+00:00,11.40835692,20891.67657
2025-09-26 10:10:00+00:00,11.46433333,21043.012
2025-09-26 10:15:00+00:00,11.47588636,21082.57228
2025-09-26 10:20:00+00:00,11.94872917,21494.45585
2025-09-26 10:25:00+00:00,12.15,21630.79
2025-09-26 10:30:00+00:00,12.25661404,21889.08439
2025-09-26 10:35:00+00:00,12.52946568,22161.5805
2025-09-26 10:40:00+00:00,12.65902381,22456.75943
2025-09-26 10:45:00+00:00,12.76265152,22607.74417
2025-09-26 10:50:00+00:00,12.9141417,22798.54244
2025-09-26 10:55:00+00:00,13.10293567,22999.39281
2025-09-26 11:00:00+00:00,13.13452095,23025.47207
2025-09-26 11:05:00+00:00,12.99866667,23123.16297
2025-09-26 11:10:00+00:00,13.41999713,23118.30444
2025-09-26 11:15:00+00:00,13.60727273,23378.64483
2025-09-26 11:20:00+00:00,13.78039636,23494.5951
2025-09-26 11:25:00+00:00,13.76978947,23349.35709
2025-09-26 11:30:00+00:00,13.29145455,23616.2848
2025-09-26 11:35:00+00:00,14.11791576,23856.97617
2025-09-26 11:40:00+00:00,13.77750722,23875.42605
2025-09-26 11:45:00+00:00,14.46993939,23828.71662
2025-09-26 11:50:00+00:00,14.30412037,23886.86883
